ENODEB_NAME,Latitude,Longitude
LTE_Vodacom_Shop_Phoenix_pCell_DN_KZN,-29.7017819,31.0055336
LTE_Paulpietersburg_Central_DN_KZN,-27.426694,30.817943
RAN_CampsDriftPMB_MTN_KZN,-29.6305833333333,30.367
LTE_Mndozo_DN_KZN,-27.69944,30.2775
RAN_Pinetown_South_KZN,-29.819825,30.854095
RAN_Pinetown_West_KZN,-29.815737,30.858029
RAN_Mahatma_Gandhi_Rd_KZN,-29.861134,31.037896
RAN_Trenance_Park_ATC_KZN,-29.651583,31.003611
RAN_Ridgeside_Vodacom_KZN,-29.7378611111111,31.06925
RAN_Scottburgh_North_KZN,-30.285236,30.75509
LTE_The_Oval_Vodashop_DN_KZN,-28.557516,29.782088522
RAN_Stamford_Hill_ATC_KZN,-29.83437907,31.02497694
LTE_The_Crescent_ATC_DN_KZN,-29.7251111111111,31.0608611111111
RAN_Esidweni_KZN,-29.953524,30.824092
RAN_Umlazi_V_CC_KZN,-29.95494,30.932317
RAN_Bartle_Rd_KZN,-29.89009,30.97997
RAN_121_Wkant_Rd_MTN_KZN,-29.796296,31.040449
RAN_Wentworth_Sec_MTN_KZN,-29.95006,30.973941
LTE_WildCoast_Int_MTN_DN_KZN,-31.085695,30.188152
RAN_Windermere_KZN,-29.839621,31.02086
RAN_Belivista_KZN,-29.543569,31.214452
RAN_Arbuckle_KZN,-29.82878961,31.02655572
LTE_Phondwana_Hlb_MTN_DN_KZN,-27.7861111111111,31.0461111111111
LTE_Swart_Mfolozi_MTN_DN_KZN,-27.8927777777778,31.1036111111111
RAN_Mtuba_Taxi_KZN,-28.412494,32.185936
LTE_Zimpondweni_DN_KZN,-29.56,30.824194
LTE_Hilton_Durban_DN_KZN,-29.852273,31.028805
RAN_Cornubia_East_KZN,-29.7095833333333,31.0629111111111
RAN_Osizweni_Fuels_Atlas_KZN,-27.78,30.129955
LTE_Sizamokuhle_Prim_Atlas_DN_KZN,-27.763509,30.112922
LTE_Mimosadale_Atlas_DN_KZN,-29.034528,29.91651
LTE_Fairmont_Hotel_DN_KZN,-29.562765,31.190419
LTE_Matata_DN_KZN,-29.572333,30.959472
LTE_Nottingham_Rd_Water_Tower_DN_KZN,-29.351267,30.00236
LTE_Ridgeside_Park_2_DN_KZN,-29.737959,31.0692609
LTE_Voda_Shop_Empangeni_DN_KZN,-28.74098175,31.890922798
LTE_Nhlangakazi_DN_KZN,-29.461028,30.866611
RAN_Ensimbini_North_MTN_KZN,-29.9889,30.8601
RAN_Sandakahle_Primary_MTN_KZN,-29.9544,30.9252
LTE_Bedford_Dam_DN_KZN,-28.2630916666667,29.584425
LTE_Montebello_DN_KZN,-29.449,30.809889
RAN_Bilanyoni_KZN,-27.3897777777778,30.9548055555556
LTE_Bhadeni_DN_KZN,-27.4782777777778,31.06625
RAN_Village_Market_KZN,-29.8269444444444,30.9305555555556
LTE_Tholulywazi_ATC_DN_KZN,-27.325138,31.4566669
LTE_Magongolo_DN_KZN,-29.456444,30.968806
LTE_Belfort_Supermarket_KZN,-29.55145,30.38793
LTE_eGqumeni_ATC_DN_KZN,-28.3215,30.7314722222222
LTE_KwaMsane_DN_KZN,-28.4441666666667,32.1397222222222
LTE_Sundunbili_North_DN_KZN,-29.115222,31.3950557
LTE_Nkatha_DN_KZN,-28.39,32.1247222222222
RAN_Bhungwane_KZN,-28.158166,31.579195
RAN_Amandalathi_Store_KZN,-30.1552777777778,30.5172222222222
LTE_Msunduze_DN_KZN,-29.518972,30.973778
LTE_Angora_Hill_DN_KZN,-27.9844444444444,30.1080555555556
LTE_Fairbreeze_NWC_DN_KZN,-27.8843055555556,30.2410833333333
LTE_Goodin_Dect_DN_KZN,-27.9844722222222,30.1339166666667
LTE_Inhabamkhosi_DN_KZN,-29.528167,31.020333
RAN_Scottsville_Mall_KZN,-29.61617957,30.395526878
RAN_Wdstck_Frm_MTN_KZN,-28.72155,29.25778
RAN_Golokodo_Ensimbini_Kopano_KZN,-30.011819,30.8417
RAN_Hlengipilo_Full_Service_Schl_Kopano_KZN,-29.690288,30.902521
RAN_Kismet_Hotel_KZN,-29.596018,30.388348
RAN_New_Home_Furnishers_KZN,-29.554683,30.412642
RAN_Florida_Rd_CP1_KZN,-29.831647,31.015493
RAN_Kings_Park_North2_KZN,-29.824233,31.030113
RAN_AYS_Memorial_Prim_Schl_Atlas_KZN,-29.92035,30.8701638888889
RAN_Himalaya_Meats_MTN_KZN,-29.8906,30.8681
RAN_Esikhaweni_H_Atlas_KZN,-28.869305,31.919886
LTE_Kambula_DN_KZN,-27.697944,30.718917
LTE_Schonau_Farm_DN_KZN,-28.992443,29.796813
